Season,Competition,Category,Athlete,C1,K1,X1,,,
2025,World Championships,Junior Men,TROJANSEK Matej,10,-,-,,,
2025,World Championships,Junior Men,SENECHAULT Matheo,11,-,-,,,
2025,World Championships,Junior Men,VICENTE Jan,12,-,-,,,
2025,World Championships,Junior Men,REZABEK Dominik,13,-,-,,,
2025,World Championships,Junior Men,WEBER Anton,14,-,-,,,
2025,World Championships,Junior Men,DEUS Oihan,15,-,-,,,
2025,World Championships,Junior Men,EGYHAZY Dominik,16,-,-,,,
2025,World Championships,Junior Men,FINA Dennis,17,-,-,,,
2025,World Championships,Junior Men,JEKLIN Andrej,18,-,-,,,
2025,World Championships,Junior Men,MILLER Leo,19,-,-,,,
2025,World Championships,Junior Men,ARDEN Lewis,20,-,-,,,
2025,World Championships,Junior Men,SENONER Lars Aaron,21,-,-,,,
2025,World Championships,Junior Men,HAN Peter,22,-,-,,,
2025,World Championships,Junior Men,KOROBOV Alexandr,23,16,62,,,
2025,World Championships,Junior Men,PARRY Daniel,24,27,-,,,
2025,World Championships,Junior Men,OBLINGER Milo,25,26,40,,,
2025,World Championships,Junior Men,PAGE-BROWN Fergus,26,42,22,,,
2025,World Championships,Junior Men,TANAKA Shunsuke,27,-,54,,,
2025,World Championships,Junior Men,STAMP James,28,25,71,,,
2025,World Championships,Junior Men,GEVAERT Tyler,29,24,20,,,
2025,World Championships,Junior Men,LESNIAK Gabriel,30,-,-,,,
2025,World Championships,Junior Men,MINTAL Miroslav,31,-,-,,,
2025,World Championships,Junior Men,HANZEL Jachym,32,-,-,,,
2025,World Championships,Junior Men,VAINAUSKAS Paulius,33,-,-,,,
2025,World Championships,Junior Men,NOGAJ Kadin,34,33,-,,,
2025,World Championships,Junior Men,CHECA BARO Nil,35,62,19,,,
2025,World Championships,Junior Men,BIERNAT Piotr,36,-,-,,,
2025,World Championships,Junior Men,LARICHE Ian,37,-,-,,,
2025,World Championships,Junior Men,DERMATIS Kyriakos,38,-,-,,,
2025,World Championships,Junior Men,MEILI Riccardo,39,-,-,,,
2025,World Championships,Junior Men,VOEGTLIN Theo,40,-,-,,,
2025,World Championships,Junior Men,LINDEMANN Cody,41,-,-,,,
2025,World Championships,Junior Men,PETRENKO Vasyl,42,-,-,,,
2025,World Championships,Junior Men,POSATSKYI Kyrylo,43,-,-,,,
