athlete,category,C1,K1,X1
POPE Benjamin,Senior Men,-,27,36
GRIGAR Jakub,Senior Men,-,28,14
TANAKA Yuuki,Senior Men,-,29,53
BEDA Marcello,Senior Men,-,30,-
BRZEZINSKI Jakub,Senior Men,-,31,33
AUBERTIN Maxime,Senior Men,-,31,4
CLARKE Joseph,Senior Men,-,33,1
GONSENICA Adam,Senior Men,-,34,61
RENIA Benjamin,Senior Men,-,36,9
BARTA Jan,Senior Men,-,37,-
LYU Luhui,Senior Men,-,38,22
SNOOK George,Senior Men,-,39,70
CHIARELLO Gelindo,Senior Men,-,40,41
HUANG Liman,Senior Men,-,41,62
EIGEL Pavel,Senior Men,-,42,34
VERNON Reilly,Senior Men,-,43,-
JACOB Lucas,Senior Men,-,44,67
ZHANG Jiahao,Senior Men,-,45,47
WU Shao-Hsuan,Senior Men,-,46,50
ALVARENGA Frederico,Senior Men,-,47,51
CUNHA Joao,Senior Men,-,48,54
UKALOVIC Thomas,Senior Men,-,49,48
MCCREERY Alistair,Senior Men,-,50,27
GONCALVES Pedro,Senior Men,-,51,12
IVCHENKO Artem,Senior Men,-,52,31
KREMSLEHNER Moritz,Senior Men,-,54,46
SOVKO Serhii,Senior Men,-,55,37
PETRUSHEV Angel,Senior Men,-,57,73
ZIELONKA Mark,Senior Men,-,58,55
LONG Kyler James,Senior Men,-,59,57
LIAO Li-Hong,Senior Men,-,60,65
REINOSO Antonio,Senior Men,-,61,60
ECHEVERRIA OLGUIN Andraz,Senior Men,-,62,42
BOYD Trevor,Senior Men,-,63,45
SRABOTNIK Martin,Senior Men,-,65,-
POPIELA Dariusz,Senior Men,-,66,-
HAYLETT Ben,Senior Men,-,67,-
HEGGE Noah,Senior Men,-,68,7
LLORENTE David,Senior Men,-,69,25
MAPELLI Guilherme,Senior Men,-,70,52
FRIEDENSON Kaelin,Senior Men,-,71,56
COLLIER Nicholas,Senior Men,-,72,21
WESTFALL Tyler,Senior Men,-,73,-
GUBENKO Nikita,Senior Men,-,74,43
MADORE Mathurin,Senior Men,-,-,2
NOVAK Matyas,Senior Men,-,-,3
LEAVER Sam,Senior Men,-,-,10
OCHOA Manuel,Senior Men,-,-,13
KUCHNO Tadeusz,Senior Men,-,-,23
ROELLER Tillmann,Senior Men,-,-,28
RUDORFER Martin,Senior Men,-,-,29
LOCNIKAR Jan,Senior Men,-,-,49
NIJHAWAN Nikhil,Senior Men,-,-,68
