athlete,category,C1,K1,X1
MOSUNOVS Stanislavs,Junior Men,55,59,0
PUCZEL Igor,Junior Men,0,-,34
KOPECEK Michal,Junior Men,-,1,8
ROMANO Daniele,Junior Men,-,4,-
FOZ Didac,Junior Men,-,5,6
SEIBERT Joseph,Junior Men,-,7,-
WILLIAMS Gwion,Junior Men,-,8,7
DAVY Clement,Junior Men,-,9,25
LARYEA Nelian,Junior Men,-,10,-
TILINGER Tadej,Junior Men,-,11,-
MEDVID Artur,Junior Men,-,12,-
PISTONI Nicola,Junior Men,-,13,26
STEINBRENNER Max,Junior Men,-,14,64
SMIESKO Michal,Junior Men,-,15,65
SAITO Teppei,Junior Men,-,18,56
PETIT Tao,Junior Men,-,19,18
JABLONSKI Joachim,Junior Men,-,20,-
CHU Hung-Yu,Junior Men,-,21,35
REDLING Tim,Junior Men,-,22,-
KULCZYCKI Marek,Junior Men,-,23,12
CLOTET JUANMARTI Faust,Junior Men,-,28,3
SKUBIK David,Junior Men,-,29,16
VELIKONJA Tjas,Junior Men,-,30,-
PARKER Jayden,Junior Men,-,31,14
KIRBY Harry,Junior Men,-,32,10
LEHNER Paul,Junior Men,-,35,15
BELOT DE LA HUNAUDAYE Brando,Junior Men,-,36,32
FROHLICH Jachym,Junior Men,-,37,-
KRACHKO Arkhyp,Junior Men,-,38,17
SAMPSON Joseph,Junior Men,-,39,46
DUDA Filip,Junior Men,-,40,-
MATVIIENKO Rostyslav,Junior Men,-,41,23
PINHEIRO Afonso,Junior Men,-,43,31
SHCHEHLOV Gordey,Junior Men,-,44,52
LIMA Antonio,Junior Men,-,45,51
LIGNE Adrian,Junior Men,-,46,48
CHOULIARAS Alexandros,Junior Men,-,47,-
HAAKENSON Connar,Junior Men,-,48,-
AFRATIS-GEORGIOU Christos,Junior Men,-,50,-
NIJHAWAN Nikhil,Junior Men,-,51,38
THOMAS Dominic,Junior Men,-,52,21
ROHRMEISTER Lukas,Junior Men,-,53,66
AUZNIEKS Klavs,Junior Men,-,54,53
POPIERA Rokas,Junior Men,-,55,60
KODA Keisaku,Junior Men,-,56,24
BASIAKOS Konstantinos,Junior Men,-,57,-
MAGAN Raage,Junior Men,-,58,70
RIVADENEYRA Nicolas,Junior Men,-,60,61
PANZER Martin,Junior Men,-,61,4
SEEBACHER Jakob,Junior Men,-,63,45
AVERKINAS Adrijus,Junior Men,-,65,37
VENNIKER Scott,Junior Men,-,67,55
LIN Yu-Chia,Junior Men,-,68,59
HAMERSKI Mateusz,Junior Men,-,69,-
LAMBERMONT Loic,Junior Men,-,70,47
TEUNISSEN Barrie,Junior Men,-,71,68
BUETIKOFER Arik,Junior Men,-,72,13
GOTTE James,Junior Men,-,73,69
